Electrolyseur
Date,               P_mw
2022-01-01 00:00:00,3
2022-01-01 01:00:00,3.5
2022-01-01 02:00:00,2.5
2022-01-01 03:00:00,5
2022-01-01 04:00:00,4.5
2022-01-01 05:00:00,4.5
2022-01-01 06:00:00,6
2022-01-01 07:00:00,7
2022-01-01 08:00:00,7
2022-01-01 09:00:00,6.5
2022-01-01 10:00:00,8
2022-01-01 11:00:00,8
2022-01-01 12:00:00,10
2022-01-01 13:00:00,10
2022-01-01 14:00:00,10
2022-01-01 15:00:00,10
2022-01-01 16:00:00,9
2022-01-01 17:00:00,9.5
2022-01-01 18:00:00,7
2022-01-01 19:00:00,8
2022-01-01 20:00:00,6.5
2022-01-01 21:00:00,7
2022-01-01 22:00:00,7
2022-01-01 23:00:00,6
