WeatherData
Date,t_air_deg_celsius,bh_w_per_m2,dh_w_per_m2
01.01.2023 00:00,15.6,0,0
01.01.2023 00:30,15.5,0,0
01.01.2023 01:00,15.3,0,0
01.01.2023 01:30,15.0,0,0
01.01.2023 02:00,14.9,0,0
01.01.2023 02:30,15.1,0,0
01.01.2023 03:00,15.0,0,0
01.01.2023 03:30,14.8,0,0
01.01.2023 04:00,14.1,0,0
01.01.2023 04:30,14.2,0,0
01.01.2023 05:00,14.3,0,0
01.01.2023 05:30,14.5,0,0
01.01.2023 06:00,14.7,0,0
01.01.2023 06:30,14.8,0,0
01.01.2023 07:00,14.5,0,0
01.01.2023 07:30,14.6,0,0
01.01.2023 08:00,14.5,0,0
01.01.2023 08:30,14.1,0,0
01.01.2023 09:00,13.9,0.0,5.0
01.01.2023 09:30,13.9,0.4511386899382188,21.54886131006178
01.01.2023 10:00,13.9,0.2531519622334102,21.74684803776659
01.01.2023 10:30,13.4,1.3451562724710655,52.654843727528934
01.01.2023 11:00,13.3,16.699178970358744,90.30082102964126
01.01.2023 11:30,13.7,135.49595211697337,59.50404788302664
01.01.2023 12:00,13.5,1.055217121130731,59.94478287886927
01.01.2023 12:30,13.2,2.5725700257161463,85.42742997428385
01.01.2023 13:00,13.1,9.473249294901791,105.52675070509821
01.01.2023 13:30,13.3,28.904789998423055,108.09521000157694
01.01.2023 14:00,12.8,1.218935877981167,61.78106412201883
01.01.2023 14:30,12.5,1.1393051958615956,53.860694804138404
01.01.2023 15:00,12.3,0.8097506210244703,41.19024937897553
01.01.2023 15:30,12.1,0.3548772702024223,21.645122729797578
01.01.2023 16:00,11.9,0.0,2.0
01.01.2023 16:30,11.8,0,0
01.01.2023 17:00,11.7,0,0
01.01.2023 17:30,11.6,0,0
01.01.2023 18:00,11.6,0,0
01.01.2023 18:30,11.6,0,0
01.01.2023 19:00,11.4,0,0
01.01.2023 19:30,11.4,0,0
01.01.2023 20:00,11.2,0,0
01.01.2023 20:30,11.1,0,0
01.01.2023 21:00,11.2,0,0
01.01.2023 21:30,11.3,0,0
01.01.2023 22:00,11.5,0,0
01.01.2023 22:30,11.2,0,0
01.01.2023 23:00,10.7,0,0
01.01.2023 23:30,10.4,0,0
02.01.2023 00:00,10.3,0,0
02.01.2023 00:30,10.1,0,0
02.01.2023 01:00,10.0,0,0
02.01.2023 01:30,10.0,0,0
02.01.2023 02:00,10.1,0,0
02.01.2023 02:30,10.4,0,0
02.01.2023 03:00,10.5,0,0
02.01.2023 03:30,11.0,0,0
02.01.2023 04:00,11.2,0,0
02.01.2023 04:30,11.5,0,0
02.01.2023 05:00,11.9,0,0
02.01.2023 05:30,11.9,0,0
02.01.2023 06:00,11.8,0,0
02.01.2023 06:30,12.0,0,0
02.01.2023 07:00,12.1,0,0
02.01.2023 07:30,12.2,0,0
02.01.2023 08:00,12.2,0,0
02.01.2023 08:30,12.2,0,0
02.01.2023 09:00,12.0,0,0
02.01.2023 09:30,12.5,0.05953484561445954,7.9404651543855405
02.01.2023 10:00,12.2,0.019178655064387762,5.980821344935612
02.01.2023 10:30,11.9,0.006644064228448876,3.993355935771551
02.01.2023 11:00,10.3,0.4172741022584603,34.58272589774154
02.01.2023 11:30,9.2,0.81205878763204,52.18794121236796
02.01.2023 12:00,8.8,0.2108656411968468,27.789134358803153
02.01.2023 12:30,8.8,1.731706156138472,76.26829384386153
02.01.2023 13:00,8.8,0.7003528983606628,50.29964710163934
02.01.2023 13:30,8.9,0.195864583898814,25.804135416101186
02.01.2023 14:00,8.3,0.607254132841959,43.39274586715804
02.01.2023 14:30,8.6,0.694798247567256,42.305201752432744
02.01.2023 15:00,8.8,0.5108739287037878,32.48912607129621
02.01.2023 15:30,8.8,0.002998163654117647,1.9970018363458824
02.01.2023 16:00,8.8,0.0,3.0
02.01.2023 16:30,8.8,0,0
02.01.2023 17:00,8.8,0,0
02.01.2023 17:30,8.7,0,0
02.01.2023 18:00,8.7,0,0
02.01.2023 18:30,8.3,0,0
02.01.2023 19:00,8.0,0,0
02.01.2023 19:30,7.7,0,0
02.01.2023 20:00,7.5,0,0
02.01.2023 20:30,7.2,0,0
02.01.2023 21:00,7.0,0,0
02.01.2023 21:30,6.8,0,0
02.01.2023 22:00,6.5,0,0
02.01.2023 22:30,6.1,0,0
02.01.2023 23:00,5.8,0,0
02.01.2023 23:30,5.3,0,0
03.01.2023 00:00,5.0,0,0
03.01.2023 00:30,5.0,0,0
03.01.2023 01:00,4.9,0,0
03.01.2023 01:30,4.8,0,0
03.01.2023 02:00,4.4,0,0
03.01.2023 02:30,4.1,0,0
03.01.2023 03:00,4.5,0,0
03.01.2023 03:30,4.5,0,0
03.01.2023 04:00,4.2,0,0
03.01.2023 04:30,3.9,0,0
03.01.2023 05:00,3.8,0,0
03.01.2023 05:30,3.4,0,0
03.01.2023 06:00,2.8,0,0
03.01.2023 06:30,2.5,0,0
03.01.2023 07:00,2.3,0,0
03.01.2023 07:30,2.4,0,0
03.01.2023 08:00,2.7,0,0
03.01.2023 08:30,2.7,0,0
03.01.2023 09:00,2.5,0.0,6.0
03.01.2023 09:30,2.5,0.43001327742188167,20.56998672257812
03.01.2023 10:00,2.3,0.1774333298523878,17.822566670147612
03.01.2023 10:30,2.5,5.034316598241048,69.96568340175895
03.01.2023 11:00,2.6,1.081003576558608,56.91899642344139
03.01.2023 11:30,3.0,8.37152557301279,93.62847442698721
03.01.2023 12:00,4.1,2.338835025041675,80.66116497495833
03.01.2023 12:30,4.6,8.359414499794411,99.64058550020559
03.01.2023 13:00,5.1,2.346520094293325,80.65347990570667
03.01.2023 13:30,5.4,5.014148299772984,86.98585170022702
03.01.2023 14:30,6.2,0.5283619893287366,36.47163801067126
03.01.2023 15:00,6.4,0.004336133362515149,2.995663866637485
03.01.2023 15:30,6.5,0.006927501993447827,2.993072498006552
03.01.2023 16:00,6.6,0,0
03.01.2023 16:30,6.6,0,0
03.01.2023 17:00,6.6,0,0
03.01.2023 17:30,6.9,0,0
03.01.2023 18:00,7.0,0,0
03.01.2023 18:30,6.9,0,0
03.01.2023 19:00,6.6,0,0
03.01.2023 19:30,6.4,0,0
03.01.2023 20:00,6.4,0,0
03.01.2023 20:30,6.4,0,0
03.01.2023 21:00,6.7,0,0
03.01.2023 21:30,6.8,0,0
03.01.2023 22:00,6.9,0,0
03.01.2023 22:30,6.9,0,0
03.01.2023 23:00,7.0,0,0
03.01.2023 23:30,7.1,0,0
04.01.2023 00:00,7.2,0,0
04.01.2023 00:30,7.2,0,0
04.01.2023 01:00,7.1,0,0
04.01.2023 01:30,7.1,0,0
04.01.2023 02:00,7.1,0,0
04.01.2023 02:30,7.4,0,0
04.01.2023 03:00,7.6,0,0
04.01.2023 03:30,7.5,0,0
04.01.2023 04:00,7.5,0,0
04.01.2023 04:30,7.3,0,0
04.01.2023 05:00,7.3,0,0
04.01.2023 05:30,7.6,0,0
